image_id,vibe,cluster_id
31037,Streetwear,1
19658,Streetwear,1
31589,Streetwear,1
31596,Streetwear,1
22803,Streetwear,1
31578,Streetwear,1
24015,Streetwear,1
20316,Streetwear,1
7645,Streetwear,1
31587,Streetwear,1
12729,Streetwear,1
31592,Streetwear,1
13489,Streetwear,1
18932,Streetwear,1
18994,Streetwear,1
16433,Streetwear,1
31579,Streetwear,1
12637,Streetwear,1
12655,Streetwear,1
5178,Streetwear,1
16428,Streetwear,1
22813,Streetwear,1
1848,Streetwear,1
16490,Streetwear,1
30325,Streetwear,1
7647,Streetwear,1
29048,Streetwear,1
19168,Streetwear,1
10884,Streetwear,1
3101,Streetwear,1
21410,Streetwear,1
10867,Streetwear,1
7642,Streetwear,1
16218,Streetwear,1
3191,Streetwear,1
20264,Streetwear,1
23153,Streetwear,1
3759,Streetwear,1
29051,Streetwear,1
7660,Streetwear,1
16913,Streetwear,1
31601,Streetwear,1
16631,Streetwear,1
7903,Streetwear,1
5084,Streetwear,1
5190,Streetwear,1
34368,Streetwear,1
10995,Streetwear,1
18631,Streetwear,1
3883,Streetwear,1
19994,Streetwear,1
31371,Streetwear,1
14998,Streetwear,1
16434,Streetwear,1
18633,Streetwear,1
2855,Streetwear,1
4405,Streetwear,1
42380,Streetwear,1
27370,Streetwear,1
10993,Streetwear,1
2837,Streetwear,1
34241,Streetwear,1
16423,Streetwear,1
10069,Streetwear,1
30329,Streetwear,1
18848,Streetwear,1
3873,Streetwear,1
27189,Streetwear,1
11464,Streetwear,1
30330,Streetwear,1
4225,Streetwear,1
11255,Streetwear,1
1944,Streetwear,1
2860,Streetwear,1
26481,Streetwear,1
24062,Streetwear,1
3353,Streetwear,1
18248,Streetwear,1
19996,Streetwear,1
3108,Streetwear,1
4015,Streetwear,1
29049,Streetwear,1
16626,Streetwear,1
23165,Streetwear,1
16437,Streetwear,1
28934,Streetwear,1
4030,Streetwear,1
32925,Streetwear,1
14534,Streetwear,1
25555,Streetwear,1
1931,Streetwear,1
10412,Streetwear,1
16912,Streetwear,1
24042,Streetwear,1
7946,Streetwear,1
34245,Streetwear,1
6924,Streetwear,1
10876,Streetwear,1
12626,Streetwear,1
16494,Streetwear,1
40107,Streetwear,1
18933,Streetwear,1
11254,Streetwear,1
6128,Streetwear,1
7862,Streetwear,1
23160,Streetwear,1
7938,Streetwear,1
23175,Streetwear,1
7269,Streetwear,1
31369,Streetwear,1
21396,Streetwear,1
9775,Streetwear,1
16495,Streetwear,1
31597,Streetwear,1
4222,Streetwear,1
18925,Streetwear,1
